,Barridas ganadas,Intercepciones,Despejes,Despejes por alto,Regateado,Error que llevó al gol,Errores que terminan el disparo,Posesiones ganadas en el último tercio,Faltas cometidas,Barridas totales
1210,0,0,1,,0,,,,0,0
1213,0,0,3,,0,,,,0,0
1221,0,0,5,,0,,,,0,0
1225,0,0,4,,1,,,1,0,0
1229,2,3,0,,0,,,,4,3
1231,2,1,0,,1,,,,0,3
1237,0,1,1,,1,,,,0,0
1240,1,0,2,,0,,,,0,1
1241,1,0,6,,0,,,,0,3
1243,3,1,3,,0,,,,1,6
1249,2,0,2,,2,,,,2,2
1253,0,2,4,,2,,,1,2,0
1255,0,1,6,,0,,1,,1,0
1257,0,0,1,,1,,,,2,0
1261,1,0,4,,0,,,,1,1
1262,0,3,3,,5,,,,4,0
1273,3,1,3,,1,,,,0,4
1274,0,0,2,,0,,,,1,0
1279,0,2,5,,0,,,,2,0
1282,1,1,3,,1,,,,1,1
1287,1,2,2,,1,,,,3,1
1294,3,2,1,,0,,,,0,3
1297,1,0,4,,0,,,,2,1
1300,3,3,1,,1,,,,1,3
1307,0,2,2,,1,,,,2,0
1309,0,0,3,,0,,,,0,0
1312,1,2,7,,0,,,,1,1
1313,0,0,0,,1,,,,0,0
1314,0,1,0,,0,,,,0,0
1317,3,0,6,,0,,,,0,3
1321,1,5,5,,0,,,,2,1
1324,1,0,1,,0,,,,1,1
1328,0,2,0,,1,,,,2,0
1331,1,1,1,,0,,,,0,1
1332,0,1,4,,0,,,,0,0
1333,0,0,0,,0,,,,0,0
1335,0,2,1,,2,,,,2,0
1336,1,0,2,,0,,,,0,1
1338,0,3,6,,1,,,,1,0
1340,3,0,2,,0,,,1,2,3
1345,1,1,0,,0,,,,2,4
1352,1,3,5,,1,,,,2,3
